Frontside,Flipside,Category,Level
"mrr","five","numeral","0"
"<u>mrr</u>trr","five day work week","substantive (noun)","0"
"<u>mrr</u>ve","fifth ([ordinal])","numeral","0"
"mu<u>i</u>ä","proper | fair | right | justified","adjective","0"
"mul<u>pxar</u>","roosterhead plant | [Alectophyllum molle]","substantive (noun)","0"
"mun<u>'i</u>","cut","verb","0"
"<u>mu</u>ne","two","numeral","0"
"<u>mun</u>sna","pair ([of something]) | [lit.:] a two-set","substantive (noun)","0"
"<u>mun</u>trr","weekend","substantive (noun)","0"
"muntrr<u>am</u>","last weekend","substantive (noun)","0"
"muntrr<u>ay</u>","next weekend","substantive (noun)","0"
"mun<u>txa</u>","mated | married","adjective","0"
"mun<u>txa si</u>","mate ([with sb.]) | marry","verb, intransitiv","0"
"mun<u>txa</u>tan","husband | male spouse","substantive (noun)","0"
"mun<u>txa</u>te","wife | female spouse","substantive (noun)","0"
"mun<u>txa</u>tu","spouse","substantive (noun)","0"
"<u>mu</u>nge","take | bring","verb, transitive","0"
"<u>mung</u>sye","inhale","verb, intransitiv","0"
"mung<u>wrr</u>","except","adposition","0"
"mung<u>wrr</u>txo","unless | except if | ([usually used with the subjunctive] (‹iv›))","conjunction","0"
"<u>mu</u>ve","second ([ordinal])","numeral","0"
"muwìn<u>txu</u>","introduce | present (person, idea, report etc.)","verb, transitive","0"
"na","like | as","adposition","0"
"<u>na'</u>rìng","forest","substantive (noun)","0"
"<u>Na'</u>vi","(the) Na'vi | (the) People | indigenous Pandorian sentient race","proper noun","0"
"na<u>er</u>","drink | something able to be drunk","substantive (noun)","0"
"nafì<u>'u</u>","such","adjective","0"
"na<u>fpawng</u>","grievingly | with grief","adverb","0"
"na<u>lu</u>tsa","Nalutsa | ([whale-like Pandoran sea creature])","proper noun","0"
"nam<u>'a</u>ke","confidently","adverb","0"
"<u>nan</u>tang","viperwolf | striped armored wolf | [Caniferratus costatus]","substantive (noun)","0"
"<u>nan</u>tangtsyìp","dog ([Earth animal])","substantive (noun)","0"
"nanti","[female name]","proper noun","0"
"nang","[surprise, exclamation, encouragement marker] ([mirative]) | [(used together with words of gradation like) txan, nìtxan]","particle","0"
"nara<u>nawm</u>","Polyphemus","proper noun","0"
"<u>na</u>ri","eye","substantive (noun)","0"
"<u>na</u>ri si","watch out | be careful","verb, intransitiv","0"
"nar<u>lor</u>","beautiful visually","adjective","0"
"nar<u>vä'</u>","ugly | unsightly","adjective","0"
"nat<u>ke</u>nong","for example | as an example","adverb","0"
"na<u>txu</u>","disapprove of","verb, transitive","0"
"<u>na</u>wang","merge | become one with","verb, intransitiv","0"
"naw<u>fwe</u>","fluent (for speech)","adjective","0"
"nawm","great | noble","adjective","0"
"nawm<u>to</u>ruktek","Toruk Makto Totem | ([huge skull of a Great Leonopteryx in the center of Hometree])","proper noun","0"
"<u>nawm</u>tu","great person | noble person","substantive (noun)","0"
"<u>naw</u>ri","talented","adjective","0"
"nayn","([the symbol]) 9 | ([not the value nine])","substantive (noun)","0"
"näk","drink","verb, transitive","0"
"nän","decrease | ([used to form 'the less … the less' pairs])","verb, intransitiv","0"
"ne","to | towards ([direction])","adposition","0"
"ne kllte","get down","interjection","0"
"ne<u>'ìm</u>","back ([direction])","adverb","0"
"ne<u>fä</u>","up ([direction])","adverb","0"
"nekawn","[female name]","proper noun","0"
"ne<u>kll</u>","down ([direction])","adverb","0"
"nekx","burn | consume","verb, transitive","0"
"<u>nem</u>fa","into | inside","adposition","0"
"nem<u>rey</u>","in a fashion as if one's life were at stake","adverb","0"
"<u>ne</u>ni","sand","substantive (noun)","0"
"neteyam","[male name]","proper noun","0"
"ne<u>to</u>","away ([direction])","adverb","0"
"<u>net</u>rìp","luckily | happily","adverb","0"
"new","want","modal verb, transitive","0"
"ne<u>wey</u>","[female name]","proper noun","0"
"new<u>o</u>mum","be curious | want to know","verb, intransitiv","0"
"<u>neym</u>pin","light color | light colour","substantive (noun)","0"
"neyn","light colors | light colours | shades of white | whitish","adjective","0"
"neytep","[given name]","proper noun","0"
"ney<u>ti</u>ri","[female name]","proper noun","0"
"ni<u>ä</u>","grab","verb, transitive","0"
"nik","convenient | usable without much expenditure of effort","adjective","0"
"<u>nik</u>re","hair","substantive (noun)","0"
"nik<u>ro</u>i","hair adornment","substantive (noun)","0"
"<u>nik</u>tsyey","food wrap | ([food items wrapped in edible leaves and vines])","substantive (noun)","0"
"nim","timid | shy","adjective","0"
"<u>ni</u>nan","by reading","adverb","0"
"ni<u>nat</u>","[female name]","proper noun","0"
"<u>ning</u>yen","mysteriously | in a puzzling fashion","adverb","0"
"nip","become stuck | get caught in something","verb, intransitiv","0"
"nit<u>ram</u>","happy ([of people])","adjective","0"
"<u>ni</u>vi","sleeping hammock | ([general term])","substantive (noun)","0"
"nì<u>'al</u>","wastefully","adverb","0"
"nì<u>'aw</u>","only","adverb","0"
"nì<u>'aw</u>tu","alone ([as one person])","adverb","0"
"nì<u>'aw</u>ve","first | firstly | at first","adverb","0"
"nì<u>'en</u>","making an informed guess | acting on intuition","adverb","0"
"nì<u>'eng</u>","equally | on the same level","adverb","0"
"nì<u>'e</u>oio","ceremoniously","adverb","0"
"nì<u>'e</u>veng","like a child | immaturely","adverb","0"
"nì<u>eyng</u>","back | in response | in answer","adverb","0"
"nì<u>'i</u>'a","finally | at long last","adverb","0"
"nì<u>'it</u>","a bit | a small amount ([abstract])","adverb","0"
"nì<u>'o'</u>","in a manner which is enjoyable | enjoyably","adverb","0"
"nì<u>'ul</u>","more","adverb","0"
"nì<u>'ul</u>'ul","increasingly | more and more","adverb","0"
"nìaw<u>no</u>mum","as you know | as is known","adverb","0"
"nay<u>weng</u>","like us | as we do","adverb","0"
"nì<u>fe'</u>","badly","adverb","0"
"nìfkeyto<u>ngay</u>","actually | as a matter of fact","adverb","0"
"nì<u>fkrr</u>","lately | currently","adverb","0"
"nì<u>flä</u>","successfully","adverb","0"
"nì<u>flrr</u>","gently | tenderly","adverb","0"
"nì<u>fmokx</u>","jealously | enviously","adverb","0"
"nì<u>fnu</u>","silently","adverb","0"
"nì<u>fpxa</u>mo","horribly | terribly | awfully","adverb","0"
"nì<u>fra</u>krr","as always","adverb","0"
"nì<u>fran</u>se","French | in French | [en français]","adverb","0"
"nì<u>frir</u>","in layers","adverb","0"
"nì<u>ftär</u>","to the left","adverb","0"
"nì<u>ftu</u>e","easily","adverb","0"
"nì<u>ftxan</u>","so | to such an extent","adverb","0"
"nì<u>ftxa</u>vang","passionately | with all heart","adverb","0"
"nì<u>fwe</u>fwi","by whistling | in a whistling manner","adverb","0"
"nì<u>fya</u>'o","in a manner","adverb","0"
"nì<u>fyeyn</u>tu","like an adult | maturely","adverb","0"
"nì<u>hawm</u>pam","noisily","adverb","0"
"nì<u>hawng</u>","too | excessively","adverb","0"
"nì<u>hay</u>","next","adverb","0"
"nì<u>hek</u>","strangely | oddly | contrary to expectations","adverb","0"
"nì<u>hì</u>pey","hesitantly","adverb","0"
"nì<u>ho</u>an","comfortably","adverb","0"
"nì<u>ho</u>et","widely | pervasively","adverb","0"
"nì<u>hol</u>","few | not many","adverb","0"
"nì<u>ho</u>na","endearingly | sweetly","adverb","0"
"nìk<u>'ä</u>rìp","steadily ([lit.: without letting it move])","adverb","0"
"nìk<u>'ong</u>","slowly","adverb","0"
"nì<u>ka</u>nu","intelligently | in a smart way","adverb","0"
"nìke<u>ftxo</u>","unfortunately | sadly","adverb","0"
"nìkel<u>kin</u>","unnecessarily","adverb","0"
"nìkem<u>wey</u>pey","impatiently","adverb","0"
"nìklo<u>nu</u>","firmly | steadfastly | faithfully | ([lit.: without releasing it])","adverb","0"
"nìk<u>mar</u>","in the right season | opportunely","adverb","0"
"nìk<u>sman</u>","wonderfully","adverb","0"
"nìk<u>sran</u>","in a mediocre manner","adverb","0"
"nìktung<u>zup</u>","carefully | firmly | ([lit.: without letting it fall])","adverb","0"
"nìkx","gravel","substantive (noun)","0"
"nì<u>kxap</u>","threateningly","adverb","0"
"nì<u>kxem</u>","vertically","adverb","0"
"nì<u>lam</u>","apparently","adverb","0"
"nì<u>law</u>","clearly","adverb","0"
"nì<u>ler</u>","steadily | ([for movement and actions])","adverb","0"
"nì<u>li</u>","in advance","adverb","0"
"nìlke<u>ftang</u>","continuously | incessantly | without stopping","adverb","0"
"nì<u>lo</u>ho","surprisingly","adverb","0"
"nìl<u>tsan</u>","well | in a good way | in a good manner","adverb","0"
"nì<u>lun</u>","of course | logically | following common sense","adverb","0"
"nì<u>mal</u>","trustingly | without hesitation","adverb","0"
"nì<u>meyp</u>","weakly | loosely","adverb","0"
"nì<u>mun</u>","again","adverb","0"
"nìm<u>wey</u>","calmly | peacefully","adverb","0"
"nìm<u>wey</u>pey","patiently","adverb","0"
"nìn","look at","verb, transitive","0"
"nì<u>na'</u>vi","like the Na'vi | Na'vily","adverb","0"
"nì<u>näk</u>","by drinking | in a liquid way","adverb","0"
"nì<u>nän</u>","less","adverb","0"
"nì<u>nä</u>nän","decreasingly | less and less","adverb","0"
"nì<u>new</u>","voluntarily | willingly | by desire","adverb","0"
"nì<u>no</u>","in detail | expansively | thoroughly","adverb","0"
"nì<u>nrr</u>a","proudly | with pride","adverb","0"
"nì<u>nu</u>","failingly | falteringly | in vain | fruitlessly | [not achieving the desired or expected end]","adverb","0"
"nì<u>ngay</u>","truly","adverb","0"
"nì<u>ngong</u>","lethargically | lazily","adverb","0"
"nìo<u>lo'</u>","(together) as members of a clan","adverb","0"
"nì<u>prr</u>te'","pleasurably | gladly | with pleasure","adverb","0"
"nì<u>pxay</u>","many | manily","adverb","0"
"nì<u>pxi</u>","especially | pointedly | unambiguously","adverb","0"
"nì<u>pxim</u>","erectly | rightly","adverb","0"
"nì<u>pxul</u>","formidably | imposingly","adverb","0"
"nì<u>ran</u>","basically | fundamentally | in essence","adverb","0"
"nì<u>rang</u>al","wish (contrary to fact | with perfective or imperfective subjunctive)","adverb","0"
"nìrì<u>kxi</u>","shakily | tremblingly","adverb","0"
"nì<u>ron</u>srel","in imagination | by imagination","adverb","0"
"nìsìl<u>pey</u>","hopefully | I hope ([that something is true])","adverb","0"
"nì<u>ski</u>en","to the right","adverb","0"
"nì<u>sle</u>le","by swimming","adverb","0"
"nì<u>sngä</u>'i","originally | at first","adverb","0"
"nì<u>sngum</u>","worryingly | fretfully","adverb","0"
"nì<u>so'</u>ha","enthusiastically","adverb","0"
"nìso<u>a</u>ia","(together) as members of a family","adverb","0"
"nì<u>sok</u>","recently","adverb","0"
"nì<u>steng</u>","similarly","adverb","0"
"nì<u>sti</u>","angrily | in an angry way","adverb","0"
"nì<u>sung</u>","besides | additionally | furthermore","adverb","0"
"nì<u>swey</u>","optimally | best","adverb","0"
"nì<u>syay</u>vi","by chance | by coincidence | coincidentally","adverb","0"
"nì<u>syen</u>","lastly","adverb","0"
"nì<u>syep</u>","tightly | in an iron grip | ([lit.: like a trap])","adverb","0"
"nìt<u>i</u>luke","never-endingly | forever","adverb","0"
"nì<u>tam</u>","enough","adverb","0"
"nì<u>teng</u>","too | also | likewise | in the same way | ([in case of extension see] kop)","adverb","0"
"nì<u>teng</u>fya","as | same way as ([similar action]) | in the same way","adverb","0"
"nìt<u>kan</u>","purposefully | deliberately","adverb","0"
"nìt<u>kan</u>luke","accidentally | unintentionally","adverb","0"
"nì<u>To</u>itsye","German | Deutsch","adverb","0"
"nì<u>trr</u>trr","on a daily basis | regularly","adverb","0"
"nì<u>tut</u>","continually","adverb","0"
"nì<u>tsim</u>","originally | in an original way | with originality","adverb","0"
"nì<u>tsì</u>syì","by whispering | in a whisper","adverb","0"
"nì<u>tsleng</u>","falsely","adverb","0"
"nì<u>tson</u>","dutifully | as an obligation","adverb","0"
"nì<u>tsyìl</u>","by climbing (with the whole body)","adverb","0"
"nìtsungwen","like the Chinese | 'Mandarinly'","adverb","0"
"nì<u>txan</u>","much ([abstract]) | very | a lot","adverb","0"
"nì<u>txan</u>kel<u>trr</u>trr","extraordinarily","adverb","0"
"nì<u>txay</u>","horizontally","adverb","0"
"nì<u>txi</u>","hurriedly | in a frenzied way | in a hurry","adverb","0"
"nì<u>txi</u>luke","unhurriedly | leisurely | at a leisurely pace","adverb","0"
"nì<u>txukx</u>","deeply","adverb","0"
"nì<u>ving</u>kap","by the way | incidentally | ([introducing a new topic])","adverb","0"
"nì<u>wan</u>","secretly | in hiding | by hiding","adverb","0"
"nìwa<u>we</u>","meaningfully | significantly","adverb","0"
"nì<u>wä</u>","on the contrary | conversely","adverb","0"
"nìwä<u>te</u>","disagreeably | begrudgingly","adverb","0"
"nì<u>win</u>","fast | quickly | rapidly","adverb","0"
"nì<u>wok</u>","loudly","adverb","0"
"nì<u>wotx</u>","all (of) | [in toto] | completely","adverb","0"
"nì<u>yawr</u>","correctly | rightly","adverb","0"
"nì<u>yew</u>la","in a disappointing fashion | in a way failing to meet expectations","adverb","0"
"nì<u>yey</u>","directly | straight to the point | just","adverb","0"
"nì<u>yey</u>fya","straight ahead | in a straight line","adverb","0"
"nì<u>yll</u>","communally | in a communal manner | (share) with the clan","adverb","0"
"nì<u>yo'</u>","perfectly | flawlessly","adverb","0"
"nì<u>yol</u>","briefly | shortly ([of time])","adverb","0"
"nì<u>yrr</u>","naturally | without tampering with nature | without changing the nature of something","adverb","0"
"nì<u>zaw</u>nong","safely","adverb","0"
"nì<u>zen</u>","necessarily","adverb","0"
"nì<u>ze</u>vakx","cruelly","adverb","0"
"nokx","give birth to","verb, transitive","0"
"nong","follow | proceed after","verb","0"
"nong<u>spe'</u>","pursue with an intend to capture","verb, transitive","0"
"nopx","put away | store","verb, transitive","0"
"nrr","glow | be luminous","verb, intransitiv","0"
"<u>nrr</u>a","pride | feeling of pride","substantive (noun)","0"
"<u>nu</u>ä","beyond","adposition","0"
"<u>nu</u>i","fail | falter | go astray | [not obtain expected or desired result] | mess up | do wrong | [used for placing blame]","verb, intransitiv","0"
"nul<u>krr</u>","longer (time)","adverb","0"
"nul<u>new</u>","prefer","modal verb, transitive","0"
"<u>nu</u>me","learn | acquire knowledge or understanding","verb, intransitiv","0"
"<u>nu</u>meyu","student | learner","substantive (noun)","0"
"<u>num</u>tseng","school","substantive (noun)","0"
"<u>num</u>tsengvi","classroom | division of a school","substantive (noun)","0"
"numul<u>txa</u>","class ([for instruction])","substantive (noun)","0"
"numul<u>txa</u>tu","classmate | member of a class","substantive (noun)","0"
"nutx","thick","adjective","0"
"nga","you ([singular])","personal pronouns","0"
"nga'","contain","verb, transitive","0"
"ngam","echo","substantive (noun)","0"
"<u>ngam</u>pam","rhyme","substantive (noun)","0"
"<u>ngam</u>pam si","rhyme | [fig.] get along","verb, intransitiv","0"
"ngawng","worm","substantive (noun)","0"
"ngay","true","adjective","0"
"ngay<u>txo</u>a","([acknowledgment of guilt and regret]) | sorry | my apologies","interjection","0"
"ngä<u>'än</u>","suffer (mentally) | suffer (emotionally) | be miserable","verb, intransitiv","0"
"ngäng","stomach","substantive (noun)","0"
"<u>ngä</u>zìk","difficult | hard","adjective","0"
"nge<u>nga</u>","you ([singular]) | ([honorific form])","personal pronouns","0"
"ngep","navel ([of the body])","substantive (noun)","0"
"nget","dank ([non-animal decay]) | ([smell of decaying wood and leaves])","adjective","0"
"<u>nge</u>yä","your ([possessive singular])","possessive pronouns","0"
"ngeyn","tired","adjective","0"
"ngi<u>an</u>","however","adverb","0"
"ngim","long ([physical length])","adjective","0"
"ngim<u>pup</u>","length","substantive (noun)","0"
"ngip","space | open or borderless area","substantive (noun)","0"
"<u>ngo</u>a","mud","substantive (noun)","0"
"ngong","lethargic | lacking sufficient energy | lazy","adjective","0"
"ngop","create","verb, transitive","0"
"<u>ngop</u>yu","creator","substantive (noun)","0"
"ngrr","root","substantive (noun)","0"
"<u>ngrr</u>pongu","grassroots movement | popular movement","substantive (noun)","0"
"ngul","grey | drab","adjective","0"
"<u>ngul</u>pin","grey | grey color | grey colour","substantive (noun)","0"
"<u>ngu</u>ngung","rub","verb, transitive","0"
"<u>ngu</u>way","howl | viperwolf cry","substantive (noun)","0"
"o<u>a</u>re","moon","substantive (noun)","0"
"<u>o</u>e","I ([1st person singular])","personal pronouns","0"
"o<u>eng</u>","we (two) ([inclusive]) | you and I","personal pronouns","0"
"<u>we</u>yä","my ([possessive])","possessive pronouns","0"
"o<u>eyk</u>","cause","substantive (noun)","0"
"o<u>eyk</u>tìng","explain (why)","verb, transitive","0"
"o<u>hakx</u>","hungry","adjective","0"
"<u>o</u>he","I ([deferential, ceremonial, honorific form])","personal pronouns","0"
"o<u>ìsss</u>","[angry snarl] | 'watch it!'","interjection","0"
"o<u>ìsss si</u>","hiss","verb, intransitiv","0"
"<u>o</u>kup","milk","substantive (noun)","0"
"olangi","[clan name]","proper noun","0"
"o<u>lo'</u>","clan","substantive (noun)","0"
"olo<u>'eyk</u>tan","clan leader","substantive (noun)","0"
"omati<u>ka</u>ya","Omatikaya ([clan name]) | Blue Flute Clan","proper noun","0"
"o<u>mum</u>","know","verb, transitive","0"
"on<u>lor</u>","good-smelling","adjective","0"
"<u>on</u>tu","nose","substantive (noun)","0"
"<u>on</u>tsang","nose ring","substantive (noun)","0"
"on<u>vä'</u>","bad-smelling","adjective","0"
"ot<u>ran</u>yu","[name, probably clan]","proper noun","0"
"<u>pa'</u>li","direhorse ([horse-like Pandoran animal]) | [Equidirus hoplites]","substantive (noun)","0"
"<u>pa'</u>liwll","direhorse pitcher plant | [Pseudocenia equina]","substantive (noun)","0"
"<u>pa</u>'o","side","substantive (noun)","0"
"pak","[disparagement marker]","particle","0"
"<u>pa</u>lang","contact ([in a social sense]) | communicate with","verb, transitive","0"
"<u>pa</u>lon","burn ([of a fire])","verb, intransitiv","0"
"pa<u>lu</u>kantsyìp","cat ([Earth animal])","substantive (noun)","0"
"palu<u>lu</u>kan","thanator | [Pestiapanthera ferox]","substantive (noun)","0"
"pam","sound | noise","substantive (noun)","0"
"pam<u>rel</u>","writing | something written","substantive (noun)","0"
"pam<u>rel si</u>","write | ([allows double dative])","verb, intransitiv","0"
"pam<u>rel</u>fya","spelling","substantive (noun)","0"
"pam<u>rel</u>siyu","writer | author","substantive (noun)","0"
"pam<u>rel</u>vi","letter ([phonetic symbol])","substantive (noun)","0"
"pam<u>rel</u>vul","pen | pencil | [often shortened to:] relvul","substantive (noun)","0"
"<u>pam</u>tseo","music","substantive (noun)","0"
"<u>pam</u>tseo si","play music | play an instrument ([with] fa [for instrument played])","verb, intransitiv","0"
"pamtseo<u>ngop</u>yu","music creator | composer","substantive (noun)","0"
"<u>pam</u>tseotu","musician","substantive (noun)","0"
"<u>pam</u>tseowll","cat ear | [lit.:] music plant | [Felinafolia ferruginea]","substantive (noun)","0"
"<u>pam</u>uvan","sound play | ([playing with and enjoying the sounds of language])","substantive (noun)","0"
"pan","third | one third","substantive (noun)","0"
"pa<u>ri</u>","Paris ([capital of France])","proper noun","0"
"pa<u>rul</u>","miracle","substantive (noun)","0"
"pa<u>rul</u>nga'","miraculous","adjective","0"
"pa<u>rul</u>tsyìp","[term of affection for children]","substantive (noun)","0"
"paska<u>lin</u>",""honey" ([term of endearment]) | lit.: sweet berry","substantive (noun)","0"
"<u>pa</u>suk","berry","substantive (noun)","0"
"<u>pa</u>te","get to a place | arrive","verb","0"
"paw","grow | germinate and develop (of a plant)","verb, intransitiv","0"
"pawk","horn ([wind instrument])","substantive (noun)","0"
"pawm","ask","verb, transitive","0"
"pay","water | liquid","substantive (noun, uncountable)","0"
"<u>pay</u>fya","stream","substantive (noun)","0"
"<u>pay</u>ìva","drop of water","substantive (noun)","0"
"<u>pay</u>näpll","pineapple","substantive (noun)","0"
"<u>pay</u>nga'","moist | humid | damp","adjective","0"
"pay<u>o</u>ang","fish","substantive (noun)","0"
"<u>pay</u>sena","water container","substantive (noun)","0"
"<u>pay</u>smung","water carrier","substantive (noun)","0"
"<u>pay</u>syul","water lily | [inrigo lilliam]","proper noun","0"
"<u>pay</u>tsim","water fountain","substantive (noun)","0"
"pay<u>txew</u>","shoreline | water's edge","substantive (noun)","0"
"<u>pay</u>wll","water plant | dapophet | [Aloeparilus succulentus]","substantive (noun)","0"
"<u>pä</u>hem","arrive","verb, intransitiv","0"
"<u>pä</u>nu","promise","substantive (noun)","0"
"<u>pä</u>nutìng","promise (something to someone)","verb, transitive","0"
"päng<u>kxo</u>","chat | converse | have a conversation","verb, intransitiv","0"
"päng<u>kxo</u>yu","chatter | converser","substantive (noun)","0"
"päng<u>kxo</u>yu leko<u>ren</u>","lawyer | rule chatter","substantive (noun)","0"
"<u>pä</u>sketpol","basketball ([game])","proper noun","0"
"<u>pä</u>tsì","badge","substantive (noun)","0"
"pe","which | [prefix for nouns]","prefix","0"
"pe","which | [suffix for nouns]","suffix","0"
"<u>pe</u>'un","decide","verb, transitive","0"
"pe<u>fnel</u>","which kind?","interrogation pronouns","0"
"pe<u>fya</u>","how? | in what manner?","interrogation pronouns","0"
"pe<u>hem</u>","what? | which action?","interrogation pronouns","0"
"pe<u>hrr</u>","when? | what time?","interrogation pronouns","0"
"pe<u>la</u>'a","how near? | how far? | what distance?","interrogation pronouns","0"
"pe<u>lì</u>'u","what? | which word? | which utterance?","interrogation pronouns","0"
"pe<u>lìm</u>sim","how near? | how far?","interrogation pronouns","0"
"pe<u>lun</u>","why? | which reason?","interrogation pronouns","0"
"<u>pen</u>sìl","pencil","substantive (noun)","0"
"peng","tell","verb, transitive","0"
"peng<u>hrr</u>","warn","verb, intransitiv","0"
"peng<u>hrr</u>ap","binary sunshine | fringed lamp | [Lucinaria fibriata]","substantive (noun)","0"
"pe<u>seng</u>","where? | which place?","interrogation pronouns","0"
"pe<u>su</u>","who? | which person?","interrogation pronouns","0"
"pe<u>u</u>","what? | which thing?","interrogation pronouns","0"
"pewn","neck","substantive (noun)","0"
"pey","wait | wait for","verb, intransitiv","0"
"<u>pe</u>yä","his ([gender neutral]) | her ([gender neutral])","possessive pronouns","0"
"pey<u>ral</u>","[female name]","proper noun","0"
"pi<u>ak</u>","open | clear ([for cloudless skies])","adjective","0"
"pi<u>ak sä</u>pi","open oneself | open by itself | open on its own","verb, intransitiv","0"
"pi<u>ak si</u>","open","verb, intransitiv","0"
"pil","facial stripe | natural staining of the Na'vi skin","substantive (noun)","0"
"<u>pin</u>vul","crayon | [short from]: 'opinvultsyìp","substantive (noun)","0"
"<u>pi</u>zayu","ancestor","substantive (noun)","0"
"pì<u>lok</u>","blog","substantive (noun)","0"
"pìm<u>txan</u>","how much?","interrogation pronouns","0"
"pì<u>saw</u>","clumsy | accident-prone","adjective","0"
"<u>pì</u>tìk","scratch non-harmfully ([as an itch])","verb, transitive","0"
"pì<u>wopx</u>","cloud","substantive (noun)","0"
"pì<u>wopx</u>tsyìp","nebula","substantive (noun)","0"
"pll<u>hrr</u>","warn","verb, intransitiv","0"
"pll<u>ngay</u>","admit","verb, intransitiv","0"
"pll<u>txe</u>","speak","verb, transitive","0"
"pll<u>txe</u>pam","speech sound | phone | phoneme","substantive (noun)","0"
"pll<u>txe</u>yu","speaker","substantive (noun)","0"
"po","he ([genderless]) | she ([genderless])","personal pronouns","0"
"po<u>an</u>","he","personal pronouns","0"
"po<u>e</u>","she","personal pronouns","0"
"pol<u>pxay</u>","how many?","interrogation pronouns","0"
"pom","kiss","verb, transitive","0"
"pon","balance","verb, transitive","0"
"<u>po</u>ngu","group of people | party","substantive (noun)","0"
"postì","(forum/blog) post","substantive (noun)","0"
"<u>prr</u>ku","womb","substantive (noun)","0"
"<u>prr</u>nen","infant | baby","substantive (noun)","0"
"<u>prr</u>nesyul","bud","substantive (noun)","0"
"<u>prr</u>smung","baby carrier","substantive (noun)","0"
"<u>prr</u>te'","pleasurable ([of an activity])","adjective","0"
"<u>prr</u>wll","moss","substantive (noun)","0"
"puk","book","substantive (noun)","0"
"<u>pu</u>kap","six","numeral","0"
"<u>puk</u>tsyìp","pamphlet | booklet","substantive (noun)","0"
"pum","one | [placeholder pronoun referring to a previously mentioned noun or pronoun]","personal pronouns","0"
"pup","short ([physical length])","adjective","0"
"<u>pu</u>ve","sixth ([ordinal])","numeral","0"
"pxan","worthy","adjective","0"
"<u>pxa</u>sìk","screw that! | no way! ([vulgar])","interjection","0"
"<u>pxa</u>sul","fresh ([appealing as food])","adjective","0"
"pxaw","around","adposition","0"
"<u>pxaw</u>ngip","environment","substantive (noun)","0"
"<u>pxaw</u>pa","perimeter | circumference | border","substantive (noun)","0"
"<u>pxaw</u>pxun","armband","substantive (noun)","0"
"pxaw<u>txap</u>","squeeze","verb, transitive","0"
"pxay","many | a lot of","adjective","0"
"<u>pxay</u>opin","colorful | multi-colored | variegated","adjective","0"
"pxay<u>zek</u>wä","spiny whips | [Phytotinium poydactylum]","substantive (noun)","0"
"pxe<u>fo</u>","they three | those three","personal pronouns","0"
"pxek","kick | shove","verb, transitive","0"
"pxel","like | as","adposition","0"
"<u>pxe</u>lo","thrice | three times","adverb","0"
"pxen","(item of) functional clothing","substantive (noun)","0"
"pxe<u>nga</u>","you three","personal pronouns","0"
"pxenge<u>nga</u>","you three | ([honorific/ceremonial])","personal pronouns","0"
"pxesrr<u>am</u>","three days ago","adverb","0"
"pxesrr<u>ay</u>","three days from now","adverb","0"
"pxey","three","numeral","0"
"<u>pxey</u>ve","third ([ordinal])","numeral","0"
"pxi","sharp ([of needles, thorns, knife point etc.])","adjective","0"
"pxim","erect | upright","adjective","0"
"pxi<u>maw</u>","right after","adposition","0"
"pxir","beer ([alcoholic beverage])","substantive (noun)","0"
"pxi<u>set</u>","right now","adverb","0"
"pxi<u>sre</u>","right before","adposition","0"
"pxiswaw<u>am</u>","just a moment ago","adverb","0"
"pxiswaw<u>ay</u>","in just a second from now","adverb","0"
"<u>pxi</u>ut","razor palm | [lit.:] sharp tree | [Saltcellar gracilis]","substantive (noun)","0"
"<u>pxi</u>wll","hermit bud plant | [Cynaroidia discolor]","substantive (noun)","0"
"pxi<u>ye'</u>rìn","immediately ([not as soon as] pxiswaway)","adverb","0"
"pxìm","often","adverb","0"
"pxìmun<u>'i</u>","divide | cut into parts","verb, transitive","0"
"<u>pxo</u>e","we ([trial, exclusive]) | we three","personal pronouns","0"
"pxo<u>eng</u>","we ([trial, inclusive]) | we three","personal pronouns","0"
"<u>pxo</u>he","we ([trial, exclusive]) | we three | ([honorific/ceremonial])","personal pronouns","0"
"pxor","explode","verb, intransitiv","0"
"<u>pxor</u>na'","episoth | exploding seed | [Croquembouche columnare]","substantive (noun)","0"
"<u>pxor</u>na'<u>lor</u>","sari | beautiful exploding seed plant | [Pandargonium cyanellum]","substantive (noun)","0"
"<u>pxor</u>pam","ejective consonant ([i.e.: kx, px, tx])","substantive (noun)","0"
"pxul","formidable | imposing","adjective","0"
"pxun","arm","substantive (noun)","0"
"<u>pxun</u>til","elbow","substantive (noun)","0"
"rai'uk","[male name] | ([non-Frommarian word])","proper noun","0"
"ral","meaning ([logical or literal sense]) | sense","substantive (noun)","0"
"<u>ral</u>ke","meaningless | devoid of content","adjective","0"
"<u>ral</u>nga'","meaningful | instructive | something from which a lesson can be learned","adjective","0"
"ral<u>peng</u>","interpret | translate","verb, transitive","0"
"<u>ra</u>lu","[male name]","proper noun","0"
"ram","mountain","substantive (noun)","0"
"<u>ram</u>tsyìp","hill","substantive (noun)","0"
"ra<u>mu</u>nong","well","substantive (noun)","0"
"ran","intrinsic character | intrinsic nature | essence | constitution | personality ([of people]) | [basic nature of something resulting from the totality of its properties]","substantive (noun)","0"
"<u>rang</u>al","wish ([used with] tsnì [for the subordinate clause])","verb, intransitiv","0"
"ra<u>spu'</u>","leggings ([used in war])","substantive (noun)","0"
"raw","down to","adposition","0"
"<u>raw</u>ke","[alarm cry] | [call to defense]","interjection","0"
